id,label,text
2365950318b79a181e8071ced8c5c62f,体育,4月8日，WTA500斯图加特站官方宣布中国金花郑钦文因伤退出赛事。
83663db9fad3823b75bd4c9b2297fe1a,体育,"郑钦文的世界排名目前已滑落到第37位，她保持近三年的""中国一姐""位置，已被王欣瑜取代。"
c64cb6113541191249357ae264e5b39b,体育,从三月底开始，郑钦文一直在位于北京的国家网球中心的红土场进行训练，为今年红土赛事进行备战。
c11f7dcb2da301a8b2d7b689b2162d20,体育,作为今年红土赛季的标杆赛事，WTA斯图加特赛即将于下周开赛。
1a062cccda0ef7f87638873017f8d546,体育,在郑钦文的比赛计划中，斯图加特站原本是她开启红土赛季的重要一站。
b7c74b81690d574188abee9edb6fbf1b,体育,而随着郑钦文确定退赛，世界排名46位的菲律宾选手亚历山德拉·伊埃拉将递补进入正赛。
e24644bd8710305fad76838e68a70df4,体育,作为WTA500级别赛事，斯图加特站是欧洲红土赛季的重要开篇，创办于1978年，今年吸引了萨巴伦卡、莱巴金娜、高芙等众多名将参赛，总奖金近100万欧元，冠军还将额外获得保时捷汽车奖励。
d8943c8f83dcc2bde460a09019b7faf0,体育,今年赛事将于4月13日至19日举行，郑钦文的缺席不仅让中国球迷错失观赛焦点，也使其失去了适应红土场地、积累赛事状态的关键机会。
424752f77f76b6cda4da119030eaccde,体育,这是郑钦文连续第二年因伤缺席该项被誉为红土季风向标的赛事，目前尚不清楚她将在哪站开启2026赛季红土首秀。
90757d9ead4ed5db56eb22ebecc129e9,体育,郑钦文此次退赛也证明，她尚未从伤病中完全走出。
8d0a119745c84dc512aa790430ee0309,体育,自2025年温网后，郑钦文接受右肘微创手术，她的复出之路充满坎坷。
4f56e2dfea02ed6d68803692f4437b96,体育,郑钦文从2025年中网复出后，因伤退赛提前结束赛季。
9a251ccbb7e64c87263a2c93f7e7d04f,体育,2026年初郑钦文缺席澳网，迪拜站又因病退赛。
46e2f3f02e966e7fdfca8a12f9287de1,体育,如今在斯图加特赛退赛，已是郑钦文本赛季第三次高挂免战牌。
688c853a539b8d74b51363526c4df38c,体育,伤病的持续，对郑钦文最大的影响体现在世界排名上。
b5fcbc726c688abd30422520ecdd76b6,体育,"在4月7日更新的WTA排名中，郑钦文下滑至第37位，丢掉了保持近3年的""中国一姐""地位。"
c2cf506bf5f7416f8d2038cfe3a73d66,体育,目前中国选手王欣瑜世界排名第32位，暂时成为中国排名最高的女子网球选手。
9e262ac975ebd55e79ab107dbd796c02,体育,接下来，郑钦文还要面临严峻的保分压力与签表劣势。
1bd0164f9c96436989298f7fd7eeed17,体育,今年红土赛季，郑钦文需捍卫938分的积分，其中包括去年罗马站四强的390分和法网八强的430分。
7998910032675af0e7ccef740368c607,体育,而随着郑钦文的排名跌出前32，她将无缘马德里等顶级赛事的种子席位，大概率在赛事早期遭遇高芙、萨巴伦卡、斯瓦泰克等顶尖选手。
fc49cd9195f60381657602dd0fec4137,体育,根据比赛计划，郑钦文的下一站赛事将是4月20日开赛的马德里公开赛。
f4421e0ec3529d647cb9a89587985474,体育,尽管面临排名下滑、伤病困扰等多重挑战，但郑钦文已启用双教练模式，新加入团队的巴格达蒂斯有望为其带来技术与战术上的新突破。
0e2ec00e325cd1b9a2e4ff5a569d6ae4,体育,这位23岁的中国金花将在中网场地上潜心备战，力求在康复与比赛间找到平衡，渡过本赛季的保分难关。
a4ef8ce52a05a6a66fc371d7a5499367,体育,迈阿密站的半决赛，兹维列夫打了整整一小时好球。
238ff28ee93ad080caf4fc84295eaecc,体育,面对当今网坛最凶残的接发机器，他保发如常，把辛纳拖进抢七，前8分死死咬住。
6be033e46e093b030aba17ad1d7026ff,体育,观众席的德国球迷刚想松口气，剧情急转直下。
90c76fd5ab3bbdc42d65cb3be4edcaf4,体育,抢七4-4，兹维列夫在自己的发球分拿到一个 routine 的高压机会。
53671769c27a729dafbf23a5f5683fe3,体育,这种球他平时闭着眼睛都能拍死，此刻却像手里攥着块烫手山芋——球拍一抖，直接框进网里。
9018cff9f9eabdf5674c05159b530b22,体育,辛纳没庆祝，只是转身走回底线，仿佛早就写好了剧本。
2962f183ae5db62719112efe2254454c,体育,「能再次站进决赛，对我意义重大。
1ba6db2053b16fdf0708c98beded1946,体育,轻描淡写，但数据很残忍：从去年8月至今，他对兹维列夫7连胜、连赢10盘；
470b3adb81c6dde298369ee8938b2f1e,体育,ATP即时排名11800分，是兹维列夫5205分的两倍还多。
ab40303d22fef9385d706e86fa833701,体育,纸面上的No.2 vs No.3，打起来像两个时代的球员。
28a81647c5ea52f460ac06dd0d7bd8c3,体育,兹维列夫澳网五盘惜败阿尔卡拉斯后，自信确实回来了。
9575ef3ef3b3d4684821857e7a7bc073,体育,今天发球在线，正手敢打，网前也敢上。
d2488902bd4697fd7d88a78223e3143a,体育,但辛纳的武器库更厚，心理素质更硬——那个高压失误后，德国人再没赢下一分。
5b7edbacb3fd45b8652db4321f2c13cf,体育,周日的决赛，辛纳对阵21号种子莱赫卡。
667ed0a2f3bf20c2c7012c6f1b499fbc,体育,后者6-2、6-2横扫菲尔斯，生涯首进大师赛决赛。
47992eaf5b5b372561dac019c19da55b,体育,迈阿密阳光双赛的历史上，背靠背夺冠的球员屈指可数。
25c940a87225d1c3d32329db836dceb2,体育,辛纳距离这个名单，只差最后一场。
d1b3ce67e5f90b5216851067f3dd8d3d,体育,迈阿密硬石体育场挤满了16000人，尖叫声在阿尔卡拉斯发球前炸开。
7846b0bda1a57d9193b8e46020dbf1f7,体育,这阵仗不像大师赛第二轮，倒像决赛现场——观众一半是来给巴西新星丰塞卡捧场的。
983be8563a036b4a80397a2e69a121b0,体育,19岁的丰塞卡上周刚在印第安维尔斯把辛纳逼进两个抢七，风头正劲。
7f3667bb2d7c73148769eb18a1ac4177,体育,ATP500冠军在手，排名蹿升速度超过同期的大多数传奇球员。
0eb73398564bb0deecaa6e6cac87b142,体育,"但面对22岁的""老将""阿尔卡拉斯，这套不管用了。"
fa0a2e62b9d4342188401fc0cdc907d9,体育,世界第一两盘都是开局破发，发球稳、变化多，防守把丰塞卡的暴脾气 forehand 一点点磨没。
a7745a01e1d447de058121d7f10c3717,体育,「他让我想起自己刚出道的时候，」阿尔卡拉斯赛后说，「有时候他选错了球，简单的球反而打丢。
