id,label,label_id,text_cut,cluster,mapped_label_id,mapped_label_name
68f40a6eeb7b4bd58b6052783dd88042,教育,3,北科大 电路 数字电路 考研 试题 解析 信息 访问 考研 频道 考研 考研 特别 说明 不断 调整 变化 新浪网 提供 所有 考试 信息 仅供参考 敬请 考生 权威部门 公布 正式 信息 为准,1,3,教育
544559a6123f4a219c0e40f31fd9f717,房产,2,丽泽 中国 铁建 青秀城 平起 居在售 样板间 鉴赏 张跃 中国 铁建 青秀城 户型 样板间 点评 项目 二期 推出 在售 户型 平米 二居 平米 三居 均价 平米 预计 毛坯 交房 另在售 一期 尾房 户型 平米 二居 均价 平米 楼座 南北 通透 剩余 房源 位于 全款 首付 50% 首付 30% 下面 带来 一组 项目 最新 样板间 中国 铁建 青秀城 位于 北京市 丰台区 玉泉营 板块 南三环 玉泉营 桥至 南四环 马家 楼桥 之间 项目 规划 幼儿园 精品 商业街 购物 餐饮 社区服务 业主 日常生活 提供方便 丰台 区域 新盘 热盘 中国 铁建 青秀城 毗邻 京开 高速 瞬息 直达 南四环 南三环 南二环 长安街 快速 连接 丽泽 商务区 金融街 三里河 政务 周边 公交系统 发达 多条 公共交通 线路 直达 项目 地铁 号线 规划 号线 延长线 分布 项目 周边 项目 靠近 公益 西桥 乘坐 公交车 马家楼 桥北 下车 以上 信息 仅供参考 开发商 公布 为准 订阅 会员 置业 直接 最新 热盘 动向 发送到 邮箱 热盘 推荐 重拳 限购 外地人 买房 别愁 总价 拿下 便宜 精装 纯新盘 最全 打折 最新 楼盘 户型 展示 京城 准现房 楼市 最火百盘,4,2,房产
b3347c5084734a48a9f7c4b1415e38e1,体育,0,资深 人士 忧虑 中超 暂停 损失 足协 休克 倒退 最近 几天 不少 媒体 中超联赛 可能 暂停 一年 所谓 休克 方便 彻底 扫赌 资深 人士 忧虑 暂停 损失 采访 舜天 俱乐部 官员 接到 任何 中超 可能 暂停 一年 舜天 收到 足协 下发 有关 冬训 通知 似乎 一切都在 按部就班 接着 采访 一位 资深 人士 坦言 中超 休克 几乎 可能 中超 休克 首要 赞助商 那边 如何 交代 中超 赞助 耐力 签订 合同 耐克 合同 更是 长达 其他 大大小小 赞助商 一旦 中超 暂停 一年 那么 中超 直接 损失 恐怕 愿意 看到 局面 其次 俱乐部 为难 俱乐部 外援 合同 中超 外援 怎么办 胸前 背后 广告 俱乐部 商家 同样 合约 另外 球员 如何 安置 白养 一年 中超 休克 面临 一系列 复杂 此事 不少 舜天 球员 网上 有所 耳闻 球员 坦言 怎么办 一年 比赛 就算 罗纳尔多 状态 倒退 中国足协 表态 休克 倒退 传闻 称中 超要 暂时 休克 足协 一位 工作人员 反问 想想 怎么 可能 这是 绝对 可能 这是 严重 违背 足球 发展 规律 国家 足球 水平 取决于 联赛 水平 核心 工作 搞好 联赛 中国 足球 刚刚 联赛 复苏 有所 进展 休克 不是 倒退 中国足协 一方面 配合 公安 扫赌 另一方面 积极 准备 赛季 联赛 具体 事情 比如 冬训 工作 足协 早就 拟定 计划 并分 发给 俱乐部 与此同时 中超 公司 积极 扩展 中超 公司 商务 开发 力争 吸引 赞助商 入驻 中超 中超 回暖 无论是 上座率 还是 媒体 关注度 增加 商家 中超 兴趣 一点点 增加 停摆 等于 中超 好不容易 盘活 大好局面 重新 推倒 承担 责任 中超 公司 一位 工作人员 告诉 快报 吕远,3,0,体育
b1fb5bc576c64e19a1125c88646f1b4b,体育,0,王宝泉 女排 输球 心惊 重压 输不起 中国女排 输球 比赛 机会 训练 中练 一直 比较 一传 提高 偏慢 两大 主力 缺阵 中国女排 世界 女排 大奖赛 澳门站 比赛 中不敌 多米尼加 主帅 王宝泉 终于 出来 这句 中国女排 输球 八个 王宝泉 头顶 一把 利剑 解释 为什么 一味 演练 主力阵容 为什么 所有 比赛 友谊赛 热身赛 拼到底 解释 伤病 缠身 魏秋月 薛明 根本 休战 机会 中国女排 输球 比赛 中惠若琪 鱼跃 救球 扑倒在 引发 肩关节 脱臼 经过 简单 复位 再度 上场 挥臂 动作 再度 脱臼 肩关节 受伤 小惠 缺阵 至少 一个月 三天 接应 李娟 扁桃体 发炎 今天上午 更是 发起 高烧 无法 上场比赛 两大 主力 一人 宾馆 房间 养伤 一人 场边 全身 穿着 运动服 运动裤 人员 不整 王宝泉 不得已 陈丽 怡和 张磊 顶替 两人 上场 陈丽怡 首局 进攻 受阻 王宝泉 几乎 上场 机会 范琳琳 换下 陈丽怡 尽管 张磊 范琳琳 进攻 打出 一定 水平 战阵 两人 显得 失误 偏多 王宝泉 张磊 一传 不够 稳定 场上 缺乏自信 进攻 发球 失误 比较 中国 阵容 训练 配合 比较 失误 偏多 总共 失误 觉得 主要 心理 原因 伤病 累累的 魏秋月 肩关节 脱臼 惠若琪 不可 替换 李娟 突如其来 病情 中国女排 一传 防线 更加 陷入 崩溃 边缘 替补队员 心态 状态 无法 迅速 调整 最佳 自信 比赛 出来 王一梅 成都 爆发 澳门站 强势 发挥 证明 一点 替补 场上 比赛 机会 怎么 培养 自信 如何 增长 经验 王宝泉 比赛 替补 球员 上场 机会 王宝泉 固执 坚守 中国女排 输球 中国女排 场上 起伏 说明 队员 输球 思想 耳濡目染 王一梅 一上场 发力 狠扣 带病 带伤 魏秋月 比赛 克服 伤病 顶替 李娟 上场 张磊 打不出 上海队 精彩 诚然 中国女排 三大球 项目 成绩 最好 国家队 世界冠军 奥运冠军 光环 中国女排 备受 关注 女排 吃苦 拼搏 精神 中国 体育界 屡屡 称道 国家体育总局 领导 三番五次 看望 慰问 中国女排 关心 之情 溢于言表 排球 管理中心 中心 主任 徐利 几乎 督战 中国女排 所有 比赛 领导 关心 中国女排 施加 巨大 心理压力 加上 蔡斌 国际 赛场 糟糕 战绩 中国 排协 做出 换帅 决定 顶替 蔡斌 上任 王宝泉 输不起 女排 担任 助理 教练 王宝泉 恪守 女排 一大 训练 原则 甚至 上任 之初 表达 即使 付出 生命 中国女排 低谷 决心 正是 来自 自身 外界 重重 压力 王宝泉 中国女排 一场 比赛 胜负 如此 重要 各种 伤情 严重 伤情 困扰 中国女排 王宝泉 始终 强调 比赛 打出 拼劲 强调 能否 真的 发挥作用 伤情 已然 出现 何不 放开 胸怀 替补队员 场上 多多 锻炼 培养 主力 队员 一样 强大 中国女排 球迷 愿意 看到 中国女排 吕敏 发自 澳门,3,0,体育
7c80beef95604312a186b021d1fcae7d,科技,4,震惊 卖场 创维 全能 液晶 热卖 中关村 在线电视 频道 原创 创维 32K05HR 参数 液晶电视 上市 不久 作为 新品 液晶电视 具备 在线 酷影 下载 搜索 音乐 另外 创维 32K05HR 液晶电视 保证 画质 清晰 加入 SRS 音效 环绕 系统 创维 32K05HR 液晶电视 上市 仅售 作为 全能 液晶电视 代表 价格 还是 非常 不错 32K05HR 液晶电视 一款 性能 非常 全面 卧室 代表 其它 尺寸 卧室 液晶 相比 创维 液晶电视 保证 画质 清晰 加入 非常 强大 娱乐 功能 充分 满足 用户 各种 娱乐 使用 需求 创维 32K05HR 液晶电视 仅售 作为 新品 卧室 液晶电视 代表 价格 还是 非常 不错,0,4,科技
84bf9cabdb524aaea14a5c20582cf8b8,科技,4,超大 广角 全景 扫描 索尼 W390 广西 IT 资讯 索尼 W390 一款 刚刚 上市 不久 家用 卡片 相机 相机 采用 英寸 像素 CCD 传感器 使用 一块 英寸 像素 LCD 显示屏 相机 感光度 范围 ISO 具有 光学 防抖 功能 索尼 W390 支持 智能 扫描 全景 模式 每秒 高速 根据 拍摄 对象 智能 识别 每帧 宽度 自动 照片 快速 接合 构成 单幅 高画质 全景 图像 索尼 W390 光学 变焦 倍数 等效于 胶片 120mm 录制 最高 分辨率 30fps 数码 短片 索尼 W390 体积 尺寸 mm 黑色 银色 机器 索尼 系列 比较 一款 产品 同为 系列 这款 W390 外观 上要 更为 时尚 性能 之前 家用 系列 更为 强劲 近期 需求 朋友 考虑 参考价格 销售 店铺 南宁 照相 器材 商家 地址 南宁市 电子科技 广场 D301 商家 电话,0,4,科技
a3009f3b20484a61a91fbfde5d54fee1,科技,4,时尚 X光 变焦 富士 F505EXR 报价 上海 行情 富士 F505EXR 资料 富士 推出 一款 长焦 卡片机 该机 搭载 诸多 技术 一块 具有 革命性 意义 有效 像素 EXR CMOS 传感器 高速 能力 超长 富士 光学 变焦 广角镜头 全高清 电影 功能 焕然一新 图形用户界面 报价 兴趣 朋友 不妨 关注 富士 FinePix F505EXR 采用 紧凑 机身 设计 全金属 材质 机身 黑色 为主 色调 面板 经过 抛光 技术 处理 机身 线条 简练 动感 边角 略显 圆润 过渡 自然 流畅 采用 一块 英寸 万色 像素 LCD 显示屏 采用 全新 矢量 字体 图形 用户界面 100% 视野 屏幕 规格 长焦 相机 非常 主流 富士 FinePix F505EXR 采用 一块 英寸 像素 EXR 传感器 像素 最高 感光度 ISO1600 像素 下可达 ISO3200 像素 下则 达到 ISO6400 该机 支持 24fps 拍摄 摄像 过程 能够 光学 变焦 富士 FinePix F505EXR 拍摄 全景 照片 横向 拍摄 照片 分辨率 可达 纵向 输出 可达 F505EXR 具有 光学 变焦 长焦 数码相机 具有 1080P 高清 摄录 功能 报价 喜欢 朋友 考虑一下 参考价格 富士 F505EXR 销售 电话 上海 新弘冠 实业 发展 有限公司 上海市 徐汇区 漕溪 北路 销售 商家,0,4,科技
038ee9eb462442b4b7528d6abecb0ace,体育,0,穆里尼奥 赢得 续约 第一 高薪 引进 部下 成下 一步 目标 彭雷 穆里尼奥 本赛季 一次 本周一 赢得 续约 赢得 加薪 过程 复杂 仅仅 依靠 皇马 掩护 葡萄牙人 就让 老板 莫拉蒂 无奈 接招 穆帅 续约 意大利 媒体 共同 字眼 穆里尼奥 胜利 本周一 晚上 穆里尼奥 抵达 国际米兰 总部 走进 主席 尔菲 办公室 不久 国际米兰 官方 宣布 穆里尼奥 国际米兰 合同 延长 字句 穆里尼奥 面子 响应 主教练 先生 意愿 俱乐部 高兴 穆里尼奥 一起 合同 延长 一年 米兰 体育报 穆里尼奥 年薪 欧元 提高 欧元 罗马 体育报 穆里尼奥 新约 每年 欧元 穆里尼奥 年薪 还是 甚至 开玩笑 自己 年薪 无论如何 穆里尼奥 继续 保持 世界 第一 高薪 教练 地位 欧元 毁约 依然 保留 毁约 保留 国际米兰 俱乐部 唯一 欣慰 国际米兰 官方 宣布 媒体 得到 最早 是从 国际米兰 第二 股东 特隆 凯蒂 那里 本周一 下午 特隆 凯蒂 巴勒莫 参加 一项 活动 透露 穆里尼奥 肯定 留在 国际米兰 条件 保持 原来 合同 傍晚 国际米兰 老板 莫拉蒂 萨拉斯 公司总部 出来 遇到 穆里尼奥 留在 国际米兰 合同 不变 延长 加薪 当然 莫拉蒂 脸色 不太好 最近 意大利 热炒 数字 99.9% 99.99% 穆里尼奥 0.01% 可能性 换来 续约 加薪 这薪加 有限 穆里尼奥 看来 数字 代表 任何 媒体 喜欢 真诚 不是 理想主义 继续 下去 最后 说出 100% 真相 的话 主席 先生 清楚 发生 脑袋 告诉 尊重 穆里尼奥 继续 修复 莫拉蒂 关系 卡利亚里 比赛 谈过 每天 交谈 他家 内蒂 基地 电话 为什么 真诚 生气 明白 必须 真相 分钟 开车 主席 先生 沟通 生气 同样 周日 弗洛伦蒂 否认 联系 穆里尼奥 传到 意大利 对此 穆里尼奥 不在意 这么 最好 媒体 穆里尼奥 那么 一点 离开 意大利 除了 意大利 足球圈 有些 受罪 这种 困难 意大利 确实 存在 英格兰 西班牙 存在 就算 中国 一样 不仅 其他 意甲 主帅 那样 困难 不是 100% 留在 国际米兰 原因 穆里尼奥 需要 信任 决心 续约 不仅仅 代表 年限 延长 工资 些许 增加 重要 国际米兰 足够 权威 明确 首先 体现 转会 市场 米利托 想要 续约 莫塔 如此 穆里尼奥 立刻 开始 动起 德科 卡瓦略 想法 可是 部下 一直 引进 莫拉蒂 以上 球员 兴趣不大 一次 小胜 莫拉蒂 穆里尼奥 借势 继续 施加压力 德科 势必 维埃拉 位置 不保 这位 刚刚 重回 国家队 法国 中场 明确 穆里尼奥 好好 谈谈 总之 合同 确定 只是 穆里尼奥 胜利 开始,3,0,体育
cb389de425af4eb1941d3d3eb2e0b3ef,教育,3,备战 一模 技巧 抓好 基础知识 突破 专项 北京 考试 报讯 区县 初三 一模 考试 即将 开始 不少 考生 感到 压力 越来越 老师 建议 考生 及时 调整 心态 抓好 基础知识 复习 月初 区县 组织 考生 参加 一模 考试 一模 考前 一次 重要 综合 练习 区县 统一 命题 试题 难度 一般 中考 稍难 考生 填报 志愿 一般 参考 这次 考试 分数 全区 排名 随着 中考 临近 学校 每天 考试 贾雪 化名 起初 基础 班里 成绩 偏低 距离 一模 越近 发现自己 东西 学过 知识点 理解消化 心里 感觉 没底 师大附中 语文 教师 王梅 学校 组织 学生 复习 备战 一模 考生 抓好 基础知识 专项 突破 争取 中档 得分 语文 字音 字形 基础知识 考题 背诵 记忆 考生 至少 准备 作文 变通 素材 题材 最好 生活 感悟 励志 情感 考生 参考 往年 优秀 中考 作文 模仿 几篇 文章 比较 容易 提分 王梅 建议 考生 考前 不要 过于 紧张 焦虑 踏下 心来 认认真真 按部就班 跟着 老师 复习 即可 不到 最后 一刻 不要 放弃,1,3,教育
4c73bda318e94570b3f69646515da87a,体育,0,男足 世界杯 夺冠 男篮 榜样 西班牙 目标 世锦赛 金牌 潘谨勤 西班牙 男足 世界杯 西班牙 男篮 更加 渴望 夺得 世锦赛 加索尔 尽管 退出 国家队 仍然 关注 国家队 嘴边 足球 夺冠 篮球 球迷 满意 夺得 世界大赛 一直 目标 加索尔 尽管 上场 仍然 相信 夺冠 实力 足球队 创造 历史 接下来 看看 篮球 表现 欧洲杯 西班牙 足球 夺冠 一年 欧锦赛 加索尔 同样 篮球 夺冠 历史 首次 捧起 欧锦赛 冠军 暂时 退出 国家队 加索尔 夏天 仍然 繁忙 前往 南非 观看 世界杯 而是 埃塞俄比亚 关怀 青少年 回到 西班牙 球迷 第二枚 总冠军 戒指 加索尔 西班牙 一年 体育 杰出 表现 骄傲 几个 国家 篮球 足球 处于 极高 水准 加索尔 为此 骄傲 不同 领域 足够 多有 天赋 球员,3,0,体育
